timestamp,meter_id,kwh,lat,lng
2024-01-01 00:00:00,M01,0.0457,12.972781,77.595742
2024-01-01 00:15:00,M01,0.0441,12.972781,77.595742
2024-01-01 00:30:00,M01,0.0342,12.972781,77.595742
2024-01-01 00:45:00,M01,0.0417,12.972781,77.595742
2024-01-01 01:00:00,M01,0.0408,12.972781,77.595742
2024-01-01 01:15:00,M01,0.0418,12.972781,77.595742
2024-01-01 01:30:00,M01,0.0474,12.972781,77.595742
2024-01-01 01:45:00,M01,0.0423,12.972781,77.595742
2024-01-01 02:00:00,M01,0.0463,12.972781,77.595742
2024-01-01 02:15:00,M01,0.0415,12.972781,77.595742
2024-01-01 02:30:00,M01,0.0436,12.972781,77.595742
2024-01-01 02:45:00,M01,0.0468,12.972781,77.595742
2024-01-01 03:00:00,M01,0.03,12.972781,77.595742
2024-01-01 03:15:00,M01,0.0399,12.972781,77.595742
2024-01-01 03:30:00,M01,0.0392,12.972781,77.595742
2024-01-01 03:45:00,M01,0.0386,12.972781,77.595742
2024-01-01 04:00:00,M01,0.0426,12.972781,77.595742
2024-01-01 04:15:00,M01,0.0585,12.972781,77.595742
2024-01-01 04:30:00,M01,0.0409,12.972781,77.595742
2024-01-01 04:45:00,M01,0.0586,12.972781,77.595742
2024-01-01 05:00:00,M01,0.0402,12.972781,77.595742
2024-01-01 05:15:00,M01,0.0561,12.972781,77.595742
2024-01-01 05:30:00,M01,0.0662,12.972781,77.595742
2024-01-01 05:45:00,M01,0.0773,12.972781,77.595742
2024-01-01 06:00:00,M01,0.0875,12.972781,77.595742
2024-01-01 06:15:00,M01,0.0987,12.972781,77.595742
2024-01-01 06:30:00,M01,0.1009,12.972781,77.595742
2024-01-01 06:45:00,M01,0.1119,12.972781,77.595742
2024-01-01 07:00:00,M01,0.1344,12.972781,77.595742
2024-01-01 07:15:00,M01,0.1362,12.972781,77.595742
2024-01-01 07:30:00,M01,0.1355,12.972781,77.595742
2024-01-01 07:45:00,M01,0.1422,12.972781,77.595742
2024-01-01 08:00:00,M01,0.1462,12.972781,77.595742
2024-01-01 08:15:00,M01,0.1566,12.972781,77.595742
2024-01-01 08:30:00,M01,0.149,12.972781,77.595742
2024-01-01 08:45:00,M01,0.1461,12.972781,77.595742
2024-01-01 09:00:00,M01,0.1274,12.972781,77.595742
2024-01-01 09:15:00,M01,0.1214,12.972781,77.595742
2024-01-01 09:30:00,M01,0.1141,12.972781,77.595742
2024-01-01 09:45:00,M01,0.0957,12.972781,77.595742
2024-01-01 10:00:00,M01,0.0923,12.972781,77.595742
2024-01-01 10:15:00,M01,0.0747,12.972781,77.595742
2024-01-01 10:30:00,M01,0.0703,12.972781,77.595742
2024-01-01 10:45:00,M01,0.0647,12.972781,77.595742
2024-01-01 11:00:00,M01,0.054,12.972781,77.595742
2024-01-01 11:15:00,M01,0.0649,12.972781,77.595742
2024-01-01 11:30:00,M01,0.0551,12.972781,77.595742
2024-01-01 11:45:00,M01,0.0577,12.972781,77.595742
2024-01-01 12:00:00,M01,0.0607,12.972781,77.595742
2024-01-01 12:15:00,M01,0.0598,12.972781,77.595742
2024-01-01 12:30:00,M01,0.0613,12.972781,77.595742
